city,home_sum,home_won,away_won
Antwerp,148.0,35.5,29.5
Hanover,77.0,28.5,12.5
Magdeburg,12.0,5.0,4.0
Palermo,41.0,16.5,4.5
Volgograd,13.0,4.0,3.0
Morelia,2.0,1.0,1.0
Bangalore,14.0,5.5,3.5
Altenkirchen,1.0,0.0,1.0
Mainz,15.0,2.0,1.0
al-Hasa,3.0,1.0,0.0
Perivólia,0.0,0.0,1.0
Gijon,4.0,1.0,0.0
Linz,18.0,5.5,6.5
Shiraz,2.0,1.0,0.0
Berat,0.0,0.5,0.5
Tempe,4.0,1.5,0.5
Ozolnieki,0.0,0.5,0.5
Temuco,10.0,4.5,2.5
Pégeia,1.0,1.0,0.0
Voronezh,0.0,0.0,1.0
Krubong,0.0,0.5,0.5
Paya Rumput,10.0,4.0,3.0
Mekele,0.0,0.0,1.0
Wellington,28.0,8.5,10.5
Cairo,443.0,177.0,87.0
Casablanca,175.0,83.5,37.5
Málaga,37.0,10.5,6.5
Morphou,6.0,3.0,2.0
Acapulco,2.0,1.0,0.0
Kaiserslautern,34.0,10.5,5.5
Arequipa,15.0,4.5,3.5
Bourj Hammoud,1.0,1.0,0.0
Badajoz,12.0,2.0,0.0
Abuja,51.0,18.0,3.0
Harrison,24.0,9.0,14.0
Ta’if,14.0,4.5,0.5
Kleve,1.0,0.0,1.0
Georgetown,140.0,47.0,58.0
Königsberg,7.0,2.0,0.0
Fès,9.0,4.0,2.0
Bethlehem,0.0,0.0,1.0
Winnipeg,3.0,2.5,0.5
Phoenix,5.0,2.5,1.5
Kochi,3.0,0.0,2.0
Jalan Besar,0.0,0.0,1.0
Esch-sur-Alzette,10.0,2.0,10.0
East Rutherford,87.0,37.5,30.5
Gaborone,101.0,57.5,55.5
Titova Mitrovica,2.0,1.0,0.0
Umtali,0.0,0.0,1.0
Bauchi,4.0,2.5,1.5
Agadir,21.0,10.5,10.5
Bastia Umbra,5.0,1.0,0.0
Tamale,17.0,6.0,4.0
Finström,10.0,2.5,0.5
Salzburg,52.0,12.5,7.5
Słupsk,7.0,2.0,0.0
Guangzhou,99.0,32.0,10.0
Speers Point,5.0,1.0,0.0
Fardhem,17.0,3.5,4.5
Ulaanbaatar,32.0,10.0,5.0
Eckerö,12.0,2.5,3.5
Anif,2.0,0.0,1.0
Östersund,39.0,9.0,19.0
Wels,3.0,1.0,0.0
Salon-de-Provence,1.0,1.0,0.0
Bissau,88.0,35.5,32.5
Fortaleza,33.0,12.5,4.5
Cocoa Beach,2.0,1.0,0.0
Ho Chi Minh City,105.0,24.5,14.5
Albufeira,1.0,0.0,1.0
Sohar,0.0,0.0,1.0
Lima,422.0,148.5,120.5
Santos,0.0,0.0,1.0
Ioannina,4.0,3.5,0.5
Neuchâtel,6.0,3.0,2.0
Pokhara,7.0,4.0,1.0
Palo Alto,24.0,7.0,6.0
Njeru,0.0,0.5,0.5
Prague,472.0,139.0,57.0
Madrid,194.0,59.5,22.5
Gosford,2.0,1.0,0.0
Namp'o,2.0,1.0,0.0
Rybnik,3.0,1.0,0.0
Klagenfurt,28.0,12.0,11.0
Agía Nápa,2.0,0.5,1.5
Jenin,8.0,1.0,0.0
Århus,29.0,8.5,4.5
San Cristóbal,106.0,29.0,24.0
Bendigo,2.0,1.0,0.0
Nizwa,2.0,1.5,0.5
San José,550.0,179.5,71.5
Port Louis,16.0,6.0,8.0
Mashhad,1.0,1.0,1.0
Púla,2.0,0.5,0.5
Garoua,4.0,2.5,1.5
Jablonec nad Nisou,1.0,1.0,0.0
Zhongshan,2.0,1.5,0.5
Reutlingen,1.0,0.5,1.5
Fort Pierce,1.0,1.0,0.0
Villach,2.0,1.0,2.0
Shanklin,1.0,1.0,2.0
Mayagüez,3.0,1.0,1.0
Oliva,0.0,0.5,1.5
Mauer,1.0,0.5,0.5
New Cairo,6.0,2.0,0.0
Seville,140.0,45.5,9.5
Kaunas,76.0,29.0,39.0
Karl-Marx-Stadt,26.0,9.0,0.0
Podgorica,76.0,32.0,23.0
Canberra,35.0,10.0,6.0
Anaheim,13.0,4.0,1.0
Montecatini Terme,2.0,1.0,1.0
Ulm,3.0,1.0,0.0
Nanchang,1.0,0.5,0.5
Rohrbach an der Lafnitz,1.0,0.5,0.5
Slough,9.0,1.5,1.5
Gävle,5.0,1.0,0.0
Roseau,107.0,36.0,28.0
Curitiba,27.0,9.0,8.0
Salonica,39.0,13.0,15.0
Novi Sad,28.0,8.0,1.0
Miami Gardens,22.0,8.0,12.0
Kyoto,4.0,1.5,1.5
Cap-Haïtien,1.0,1.0,2.0
Ayutthaya,4.0,1.5,0.5
Hammarland,19.0,5.5,1.5
Winterthur,0.0,0.0,1.0
Senlis,3.0,1.0,0.0
Valenciennes,3.0,1.0,0.0
Ústí nad Labem,3.0,1.0,0.0
Karbala,1.0,0.5,0.5
Stoke-on-Trent,13.0,3.0,0.0
Ottawa,1.0,0.0,2.0
Potsdam,12.0,2.0,0.0
Riffa,215.0,81.5,54.5
Greensboro,0.0,0.5,0.5
Coquimbo,14.0,4.0,2.0
el-Jadida,2.0,2.0,0.0
Lookout,6.0,2.5,3.5
Kielce,11.0,2.5,0.5
Urziceni,1.0,1.0,0.0
Edinburgh,43.0,13.5,4.5
Djibouti,23.0,7.0,23.0
Košice,26.0,10.0,2.0
Messina,3.0,2.0,0.0
Kuressaare,9.0,4.5,1.5
Sunderland,31.0,6.0,5.0
Tallinn,224.0,83.5,102.5
Campo Grande,7.0,3.5,1.5
Dallas,43.0,16.0,10.0
Oruro,9.0,3.0,1.0
Singapore,287.0,94.0,82.0
Saltvik,4.0,2.0,1.0
Chamazi,0.0,0.0,1.0
Juba,15.0,4.5,4.5
Rotherhithe,6.0,2.0,1.0
Łódź,39.0,11.5,6.5
Nice,27.0,11.0,4.0
Adana,4.0,3.0,1.0
Dalian,9.0,3.0,3.0
Misurata,7.0,2.5,0.5
Manchester,80.0,23.0,13.0
Bradford,4.0,1.0,0.0
Kénitra,2.0,0.5,0.5
Braga,16.0,7.5,5.5
Oakland,27.0,8.5,9.5
Arles,0.0,0.0,1.0
Khujand,3.0,1.5,0.5
Bucheon,3.0,1.0,0.0
Adelaide,82.0,20.5,15.5
Jakarta,506.0,140.5,98.5
Benghazi,72.0,19.5,11.5
Taranto,4.0,1.0,0.0
Radès,104.0,41.5,18.5
Durrës,3.0,2.0,0.0
Issy-les-Moulineaux,3.0,1.0,1.0
Santander,13.0,6.0,1.0
Antibes,0.0,0.0,1.0
Libreville,263.0,113.5,66.5
Enugu,3.0,2.0,0.0
Montpellier,20.0,8.5,3.5
Dunajská Streda,2.0,0.5,0.5
Brzeszcze,1.0,0.5,0.5
Avignon,2.0,0.5,1.5
Chiang Mai,25.0,8.0,3.0
Šibenik,2.0,0.5,0.5
Tianjin,23.0,7.5,3.5
Jinan,18.0,5.0,4.0
Saint-Nazaire,0.0,0.0,1.0
Corbeil-Essonnes,2.0,0.0,2.0
Rostov-on-Don,13.0,3.5,3.5
Al Ram,4.0,2.5,1.5
Frankfurt,6.0,1.0,0.0
Fort-de-France,230.0,71.5,48.5
Almaty,65.0,19.5,25.5
Ulsan,20.0,8.0,3.0
Mission Viejo,16.0,3.0,1.0
Cuenca,13.0,5.5,3.5
Toulon,2.0,1.0,3.0
Jericho,0.0,0.5,0.5
Ancona,4.0,2.5,0.5
